"","Nível Territorial (Código)","Nível Territorial","Unidade de Medida (Código)","Unidade de Medida","Valor","Unidade da Federação (Código)","Unidade da Federação","Ano (Código)","Ano","Variável (Código)","Variável","Sexo (Código)","Sexo","Idade (Código)","Idade","Forma de declaração da idade (Código)","Forma de declaração da idade"
"164","3","Unidade da Federação","45","Pessoas",24932,"11","Rondônia","2022","2022","93","População residente","6794","Total","6587","34 anos","113635","Total"
"165","3","Unidade da Federação","45","Pessoas",20700,"11","Rondônia","2022","2022","93","População residente","6794","Total","6587","34 anos","6555","Data de nascimento"
"166","3","Unidade da Federação","45","Pessoas",4232,"11","Rondônia","2022","2022","93","População residente","6794","Total","6587","34 anos","6556","Idade presumida"
"167","3","Unidade da Federação","45","Pessoas",127989,"11","Rondônia","2022","2022","93","População residente","6794","Total","93090","35 a 39 anos","113635","Total"
"168","3","Unidade da Federação","45","Pessoas",104666,"11","Rondônia","2022","2022","93","População residente","6794","Total","93090","35 a 39 anos","6555","Data de nascimento"
"169","3","Unidade da Federação","45","Pessoas",23323,"11","Rondônia","2022","2022","93","População residente","6794","Total","93090","35 a 39 anos","6556","Idade presumida"
"170","3","Unidade da Federação","45","Pessoas",26401,"11","Rondônia","2022","2022","93","População residente","6794","Total","6588","35 anos","113635","Total"
"171","3","Unidade da Federação","45","Pessoas",20997,"11","Rondônia","2022","2022","93","População residente","6794","Total","6588","35 anos","6555","Data de nascimento"
"172","3","Unidade da Federação","45","Pessoas",5404,"11","Rondônia","2022","2022","93","População residente","6794","Total","6588","35 anos","6556","Idade presumida"
"173","3","Unidade da Federação","45","Pessoas",25846,"11","Rondônia","2022","2022","93","População residente","6794","Total","6589","36 anos","113635","Total"
"174","3","Unidade da Federação","45","Pessoas",21305,"11","Rondônia","2022","2022","93","População residente","6794","Total","6589","36 anos","6555","Data de nascimento"
"175","3","Unidade da Federação","45","Pessoas",4541,"11","Rondônia","2022","2022","93","População residente","6794","Total","6589","36 anos","6556","Idade presumida"
"176","3","Unidade da Federação","45","Pessoas",24981,"11","Rondônia","2022","2022","93","População residente","6794","Total","6590","37 anos","113635","Total"
"177","3","Unidade da Federação","45","Pessoas",20817,"11","Rondônia","2022","2022","93","População residente","6794","Total","6590","37 anos","6555","Data de nascimento"
"178","3","Unidade da Federação","45","Pessoas",4164,"11","Rondônia","2022","2022","93","População residente","6794","Total","6590","37 anos","6556","Idade presumida"
"179","3","Unidade da Federação","45","Pessoas",25337,"11","Rondônia","2022","2022","93","População residente","6794","Total","6591","38 anos","113635","Total"
"180","3","Unidade da Federação","45","Pessoas",20303,"11","Rondônia","2022","2022","93","População residente","6794","Total","6591","38 anos","6555","Data de nascimento"
"181","3","Unidade da Federação","45","Pessoas",5034,"11","Rondônia","2022","2022","93","População residente","6794","Total","6591","38 anos","6556","Idade presumida"
"182","3","Unidade da Federação","45","Pessoas",25424,"11","Rondônia","2022","2022","93","População residente","6794","Total","6592","39 anos","113635","Total"
"183","3","Unidade da Federação","45","Pessoas",21244,"11","Rondônia","2022","2022","93","População residente","6794","Total","6592","39 anos","6555","Data de nascimento"
"184","3","Unidade da Federação","45","Pessoas",4180,"11","Rondônia","2022","2022","93","População residente","6794","Total","6592","39 anos","6556","Idade presumida"
"185","3","Unidade da Federação","45","Pessoas",123968,"11","Rondônia","2022","2022","93","População residente","6794","Total","93091","40 a 44 anos","113635","Total"
"186","3","Unidade da Federação","45","Pessoas",100595,"11","Rondônia","2022","2022","93","População residente","6794","Total","93091","40 a 44 anos","6555","Data de nascimento"
"187","3","Unidade da Federação","45","Pessoas",23373,"11","Rondônia","2022","2022","93","População residente","6794","Total","93091","40 a 44 anos","6556","Idade presumida"
"188","3","Unidade da Federação","45","Pessoas",28169,"11","Rondônia","2022","2022","93","População residente","6794","Total","6593","40 anos","113635","Total"
