"code_muni";"dom_resp_h_branca";"dom_resp_h_preta";"dom_resp_h_amarela";"dom_resp_h_parda";"dom_resp_h_indigena";"dom_resp_m_branca";"dom_resp_m_preta";"dom_resp_m_amarela";"dom_resp_m_parda";"dom_resp_m_indigena"
"2807303";169;105;NA;327;2;121;67;NA;323;3
"2807402";2354;782;8;5478;14;2626;718;7;6575;14
"2807501";543;228;8;1321;7;509;198;7;1546;6
"2807600";506;444;4;1710;3;814;857;10;3937;3
"2900108";628;132;2;794;4;464;106;1;593;1
"2900207";285;472;3;1319;371;300;506;5;1925;362
"2900306";416;459;1;1436;8;341;543;NA;1557;9
"2900355";837;339;10;1672;5;605;227;4;1515;3
"2900405";209;784;4;1378;19;185;1121;NA;1753;7
"2900504";527;342;NA;1134;NA;320;196;NA;589;NA
"2900603";109;228;NA;482;1;74;204;NA;414;NA
"2900702";3335;7295;27;13442;69;3987;9773;34;17576;72
"2900801";625;1394;6;2236;36;539;1377;4;2325;44
"2900900";179;284;NA;621;7;137;218;NA;604;NA
"2901007";1095;1713;2;3008;17;1289;2444;9;3851;15
"2901106";269;1506;2;2061;5;245;2081;4;2431;7
"2901155";395;669;8;1279;10;394;748;11;1650;3
"2901205";1329;481;2;3589;3;907;336;1;2229;3
"2901304";209;692;1;1349;10;127;744;1;1319;12
"2901353";754;325;5;1992;17;690;263;4;1898;18
"2901403";636;448;1;1415;15;427;324;NA;1276;12
"2901502";118;499;1;923;1;110;498;2;997;2
"2901601";772;226;1;1074;3;850;325;NA;1234;5
"2901700";114;957;NA;731;1;94;948;1;592;1
"2901809";336;397;2;927;10;317;453;3;1090;13
"2901908";590;530;NA;1671;5;515;666;NA;1669;9
"2901957";225;319;1;697;7;203;323;NA;707;14
"2902005";952;237;11;1852;NA;505;139;3;906;3
"2902054";222;725;2;981;8;203;908;2;1059;8
"2902104";1363;1492;3;4484;26;1698;1754;14;6087;35
"2902203";106;650;1;736;4;113;878;1;1010;1
"2902252";241;506;NA;1236;20;192;390;2;884;12
